Verb,Noun,Prep,Prep_obj,Class_label
discuss,terms,of,issue,N
approved,legislation,on,buy-outs,N
put,brakes,on,acquisitions,N
load,carrier,with,debt,V
block,acquisition,of,airline,N
called,amendment,by,supporters,V
preventing,Chairman,from,attempting,V
drop,Voice,of,offices,N
print,text,of,broadcasts,N
are,propaganda,of,sorts,N
make,mind,on,issue,V
broadcasts,news,in,languages,V
barred,dissemination,of,material,N
read,texts,of,material,N
read,texts,at,headquarters,V
barred,them,from,copying,V
print,it,in,newspaper,V
sounded,lot,like,censorship,N
lost,case,in,court,V
changed,position,on,points,N
declared,right,of,everyone,N
disseminate,materials,in,States,V
preclude,plaintiffs,from,disseminating,V
allowed,access,to,materials,N
allowed,access,notwithstanding,designations,V
check,credentials,of,person,N
proscribes,government,from,passing,V
abridging,right,to,speech,N
prescribe,duty,upon,government,V
assure,access,to,information,N
read,Voice,of,scripts,N
visiting,office,during,hours,V
copy,material,on,machine,V
get,words,for,examination,N
get,answers,to,questions,N
was,director,of,the,N
run,Campbell,as,team,V
including,executives,with,experience,N
is,a,in,market,N
paid,times,for,PLC,V
have,rapport,with,employees,N
have,responsibility,for,operations,N
joined,Campbell,in,1986,V
take,charge,of,operations,N
boost,performance,to,level,V
controlled,%,of,stock,N
took,charge,against,earnings,N
discuss,circumstances,of,departure,N
reached,age,of,65,N
reached,age,in,1991,V
withdrawn,name,as,candidate,V
received,salary,of,877663,N
owns,shares,of,stock,N
convince,board,of,worthiness,N
give,duo,until,year,V
take,look,at,businesses,N
applaud,performance,of,U.S.A.,N
posted,growth,for,1989,V
announced,resignation,from,house,N
handled,growth,of,company,N
integrated,acquisitions,in,years,V
been,president,of,House,N
run,side,in,combination,V
be,publisher,of,books,N
signals,attempt,under,pretext,N
gives,veto,over,action,N
gives,Congress,through,ability,V
swallow,principle,of,separation,N
discussed,clause,at,Convention,V
needed,executive,with,resources,N
placing,president,on,leash,V
contained,attempts,by,Congress,N
rewrite,Constitution,under,pretext,V
sign,bills,into,law,V
declaring,intrusions,on,power,N
strip,president,of,powers,N
make,appointments,without,approval,V
fill,Vacancies,by,granting,V
approve,nomination,of,said,N
make,appointments,under,II,V
imposes,conditions,on,ability,V
nominate,candidates,of,choosing,N
avoid,restriction,by,choosing,V
prohibits,service,to,government,N
contain,number,of,provisions,N
violate,clause,in,II,N
make,recommendations,to,Congress,V
select,matter,of,recommendations,N
proposing,alternatives,to,regulations,N
prevents,Office,of,Budget,N
subjecting,orders,to,scrutiny,V
illustrates,attempt,than,609,V
contain,kinds,of,conditions,N
invite,Congress,for,remainder,V
rewrite,II,of,Constitution,N
becomes,custom,in,administration,V
discussing,control,in,Moscow,V
direct,president,through,rider,V
leave,part,of,branch,N
sign,bills,into,law,V
assert,power,of,excision,N
be,power,of,applicability,N
is,assertion,of,veto,N
is,assertion,at,all,V
exerting,power,of,excision,N
violate,separation,of,powers,N
asserts,right,of,excision,N
takes,dispute,to,Court,V
is,vindication,of,right,N
take,provisions,in,bills,N
realize,fear,in,48,N
extending,sphere,of,activity,N
drawing,powers,into,vortex,V
was,billion,in,1987,V
deducting,expenses,from,income,V
saved,farmers,from,year,V
reclaim,quantities,of,grain,N
sell,commodities,at,profit,V
attributed,increases,to,package,V
confirms,rebound,from,depression,N
explain,reluctance,of,lobbies,N
make,changes,in,program,N
curtailed,production,with,programs,V
led,nation,with,billion,V
log,decline,in,income,N
was,setback,for,10000,N
boosted,production,of,corn,N
turns,city,into,town,V
faces,competition,in,County,N
faces,competition,in,Valley,V
put,paper,on,block,V
asking,million,for,operation,V
buy,space,in,the,V
target,area,with,one,V
provide,alternative,to,the,N
joins,News-American,as,cornerstones,V
built,castle,at,Simeon,N
kept,apartment,in,building,N
represent,condition,of,industry,N
was,survivor,from,age,N
cut,circulation,in,half,V
restored,respect,for,product,N
beat,rival,on,disclosures,V
provide,employees,with,service,V
pay,them,for,days,V
filling,box,with,edition,V
make,payment,on,million,V
obtain,capital,from,lenders,V
make,payment,by,1,V
seeking,offers,for,stations,N
leave,home,without,card,V
joining,forces,in,promotion,V
encouraging,use,of,card,N
giving,vacations,for,two,N
giving,vacations,to,buyers,V
charge,part,of,payments,N
charge,part,on,card,V
sending,letters,to,holders,V
approached,Express,about,promotion,V
restore,reputation,as,car,N
is,part,of,effort,N
broaden,use,of,card,N
is,company,with,maker,N
promote,card,as,card,V
charge,all,of,purchase,N
charge,all,on,card,V
finance,part,of,purchase,N
finance,part,through,Corp,V
put,payment,on,card,V
joining,forces,with,them,V
is,nameplate,among,holders,V
asked,members,in,mailing,V
get,information,for,purchases,V
screened,list,for,holders,V
get,point,off,rates,N
increase,use,of,cards,N
have,plans,for,tie-in,N
offered,tickets,on,Airlines,N
offered,tickets,to,buyers,V
declared,variety,of,deals,N
set,precedent,for,municipalities,V
retraced,some,of,losses,N
lost,millions,of,pounds,N
lost,millions,from,deals,V
make,payments,on,debt,N
making,payments,with,another,V
make,payments,to,banks,V
set,precedent,for,transactions,N
representing,one,of,banks,N
exhaust,avenues,of,appeal,N
recover,payments,to,authorities,N
recover,payments,in,instances,V
made,payments,to,councils,N
file,appeal,against,ruling,N
cause,fall,on,13,N
are,proponents,of,trading,N
make,markets,in,stocks,V
announced,addition,of,layer,N
slow,traders,during,market,V
approve,restrictions,on,trading,N
turning,market,into,crapshoot,V
abandoned,arbitrage,for,accounts,V
do,trades,for,clients,V
stop,racket,on,Street,N
telephone,executives,of,companies,N
rallying,CEOs,to,cause,V
gained,control,over,chunk,N
wedded,them,to,ability,V
wrote,letter,to,Chairman,N
pitting,employee,against,employee,V
made,shambles,of,system,V
turning,market,into,den,V
portray,pickers,as,Neanderthals,V
beg,regulators,for,protection,V
take,advantage,of,discrepancies,N
place,orders,via,computers,V
sell,them,in,market,V
lock,difference,in,price,N
lock,difference,as,profit,V
involve,sale,of,millions,N
earns,profit,of,25000,N
is,reason,for,gyrations,N
seen,iota,of,evidence,N
support,restrictions,on,trading,N
halted,trading,in,futures,N
ignoring,role,as,source,V
keep,returns,of,benchmarks,N
losing,clients,to,funds,V
charge,pennies,per,100,V
make,dinosaurs,of,firms,N
earned,returns,of,%,N
earned,returns,on,capital,V
making,markets,in,stocks,N
see,step,to,trading,N
see,step,as,knell,V
keep,funds,from,taking,V
taking,business,to,markets,V
stacking,deck,against,them,V
scaring,them,to,death,V
buy,stocks,in,500,N
doing,%,of,volume,N
minted,dozens,of,millionaires,N
trade,worth,of,futures,N
getting,thunder,from,Congress,V
put,system,in,jeopardy,V
put,genie,in,bottle,V
stop,idea,of,trading,N
trading,basket,of,stocks,N
is,increase,in,requirement,N
chase,dozens,of,traders,N
prevents,sale,of,stock,N
destroy,efficiency,of,markets,N
suspend,trading,during,swings,V
is,form,of,trading,N
takes,advantage,of,concept,N
owns,widget,in,York,N
replace,it,with,widget,V
beat,return,of,index,N
executing,order,in,stocks,V
is,evidence,of,desires,N
make,transactions,of,numbers,N
taking,advantage,of,inefficiencies,N
evoking,curses,of,observers,N
is,difference,between,markets,N
causes,difference,in,prices,N
initiating,sell,in,Chicago,N
transfers,pressure,from,Chicago,V
decrease,ownership,in,widgets,N
get,execution,of,trade,N
is,subtraction,to,market,N
become,ticket,of,future,N
encourage,type,of,investor,N
encourage,type,over,another,V
attract,investor,to,he,V
using,trading,as,boy,V
gain,ground,in,wooing,N
wooing,investors,for,products,V
bringing,interference,from,markets,V
is,one,for,abolishing,N
amass,record,with,fees,N
offering,it,to,investors,V
inviting,liquidity,with,ways,V
transfer,capital,among,participants,V
executes,trades,for,institutions,V
affect,operations,of,Department,N
cut,request,for,enforcement,N
make,filings,to,regulators,N
requested,amount,for,enforcement,N
requested,amount,for,1990,V
charges,nothing,for,filings,V
is,increase,of,million,N
noticed,surge,in,filings,N
set,record,for,elections,N
represent,the,in,any,N
cites,efforts,in,Oklahoma,N
Taking,cue,from,California,V
reflect,development,of,structure,N
is,sort,of,sense,N
is,sort,in,market,V
fetching,deal,of,money,N
brings,number,of,services,N
costs,caller,from,cents,V
noting,interest,in,use,N
eyeing,registration,through,service,N
face,barriers,to,raising,N
improving,rates,of,patients,N
improving,rates,at,Hospital,V
send,light,to,dozens,V
including,emphasis,on,medicine,N
gotten,inquiries,from,people,V
limited,growth,at,Services,N
spurring,move,to,cloth,N
eliminate,need,for,pins,N
bearing,likeness,of,Freud,N
have,advantage,because,quantity,V
blames,trading,for,some,V
cites,troubles,in,bonds,N
's,virtue,in,it,V
does,anything,for,market,V
runs,agency,in,York,N
plays,options,for,account,V
factoring,volatility,into,decisions,V
increases,liquidity,in,market,N
is,part,of,markets,N
bring,market,after,plunge,V
get,rhythm,of,trading,N
take,advantage,of,it,N
sell,all,by,quarter,V
sell,stocks,in,trust,N
took,advantage,of,prices,N
receive,3500,at,closing,V
approved,transaction,by,written,V
raised,capacity,of,crystals,N
raised,capacity,by,factor,V
created,changes,in,structures,N
made,advance,with,superconductors,V
marks,step,in,research,N
obtained,capacity,in,films,V
conduct,electricity,without,resistance,V
created,changes,by,process,V
bombarding,samples,with,neutrons,V
creates,radioactivity,in,samples,V
breathed,sigh,of,relief,N
breathed,sigh,about,finding,V
involves,motion,of,fields,N
pins,fields,in,place,V
combine,process,with,growth,V
raise,capacity,of,samples,N
named,officer,of,Corp.,N
succeeded,Taylor,as,chairman,V
posted,loss,of,million,N
had,impact,of,million,N
is,million,of,bonds,N
expect,rating,from,Moody,V
indicating,coupon,at,par,N
buy,shares,at,premium,V
is,Monday,from,1989,N
is,Tuesday,from,1989,N
have,home,for,them,V
is,fan,of,proposition,N
build,replacement,for,Park,N
sink,million,into,stadium,V
be,moneymakers,for,city,N
brought,money,into,city,V
redistribute,wealth,within,community,V
sink,dollars,into,mega-stadium,V
spent,100000,on,promotion,V
rejected,%,to,%,N
built,Park,for,Giants,V
playing,games,with,voters,V
built,coliseum,with,funds,V
slipped,%,to,million,V
fell,%,to,million,V
were,losses,in,period,N
was,gain,of,million,N
was,profit,from,discontinued,V
contributed,million,before,tax,V
fell,%,to,million,V
rose,pence,to,pence,V
paying,dividend,of,pence,N
fell,%,to,million,V
sent,shivers,through,community,V
retain,ratings,on,paper,N
reduce,margins,on,borrowings,N
signal,trouble,for,firms,V
shoring,standing,in,months,V
taking,risks,with,capital,V
's,departure,from,practice,N
transferring,risks,to,investors,V
raised,flag,for,industry,N
raised,flag,in,April,V
acquires,company,in,transaction,V
create,prospects,for,profitability,N
arranged,billion,of,financings,N
arranged,billion,for,units,V
represent,portion,of,equity,N
been,participant,in,business,N
includes,billion,of,goodwill,N
has,million,of,capital,N
had,Shearson,under,review,V
taken,toll,on,Drexel,N
cutting,workforce,in,half,V
circulated,statement,among,firms,V
diminished,year,from,years,V
is,plus,in,view,V
been,firm,on,Street,N
been,president,of,engineering,N
sought,involvement,of,suppliers,N
change,perception,of,cars,N
holding,variety,of,positions,N
hear,appeal,from,case,N
offer,kind,of,aid,N
offer,kind,to,those,V
becomes,precedent,for,cases,N
reported,cases,among,daughters,N
expanded,approach,for,time,V
pay,share,of,damages,N
sold,all,in,California,V
are,issues,of,process,N
chilled,introduction,of,drugs,N
rejected,liability,for,drugs,N
favors,marketing,of,drugs,N
forced,drug,off,market,V
suffer,injuries,from,drugs,N
replaced,lawsuits,over,vaccines,N
replaced,lawsuits,with,fund,V
trash,law,in,cases,N
completed,purchase,of,chain,N
operates,stores,in,Northeast,N
reported,revenue,of,billion,N
runs,stores,as,Taylor,N
had,guilders,of,charges,N
had,guilders,in,quarter,V
reflect,losses,in,connection,N
had,guilders,of,charges,N
cut,spending,by,half,V
send,million,in,aid,N
send,million,to,Poland,V
harmed,farmers,in,Salvador,N
need,market,for,products,N
expects,income,in,year,N
fell,1.125,to,13.625,V
fell,%,to,%,V
earned,million,on,revenue,V
attributed,downturn,in,earnings,N
attributed,downturn,to,costs,V
carry,it,through,period,V
edged,Wednesday,in,trading,V
added,points,to,35564.43,V
fell,points,to,35500.64,V
outnumbered,454,to,451,N
reflecting,uncertainty,about,commitments,N
sparked,buying,in,issues,V
is,liquidity,despite,trend,V
regarding,direction,of,market,N
advanced,yen,to,1460,V
gained,20,to,1570,V
rose,50,to,1500,V
fell,yen,to,692,V
added,15,to,960,V
advanced,11,to,890,V
affecting,demand,for,stocks,N
closed,points,at,2160.1,V
posting,intraday,of,2141.7,N
posting,intraday,in,minutes,V
ended,day,near,session,V
settled,points,at,1738.1,V
hugging,sidelines,on,fears,V
cited,volatility,as,factors,V
tender,bid,for,control,N
waive,share,in,maker,N
raised,prospects,of,war,N
gain,acceptance,of,bid,N
sparked,expectations,of,bid,N
rose,9,to,753,V
eased,highs,in,dealings,V
gained,15,to,397,V
reporting,drop,in,profit,N
cover,requirements,in,shares,N
climbed,32,to,778,V
gained,18,to,666,V
advanced,23,to,14.13,V
are,trends,on,markets,N
alleging,violations,in,facility,N
stored,materials,in,containers,V
held,hearings,on,allegations,N
returned,plant,to,inspection,V
expects,vindication,in,court,N
had,effect,on,consumers,V
was,116.4,in,October,V
was,116.9,in,1988,V
uses,base,of,100,N
providing,sense,of,security,N
kept,power,of,paycheck,N
buy,homes,in,months,V
buy,appliances,in,months,V
ranked,offering,as,sale,V
paid,attention,to,reports,N
provided,view,of,economy,N
blurred,picture,of,economy,N
reported,declines,in,activity,N
enhances,importance,of,data,N
caused,swings,in,prices,N
forecast,rise,in,rate,N
create,one,for,refunding,V
raise,billion,in,cash,N
issue,billion,of,bonds,N
increasing,size,of,bond,N
gauge,demand,for,securities,N
is,contingent,upon,passage,N
issue,debt,of,kind,N
dominated,activity,in,market,N
posted,return,of,%,N
showed,return,of,%,N
outdistanced,return,from,bonds,N
trailed,gains,in,market,N
yielding,%,to,life,V
including,lack,of,interest,N
was,interest,in,bonds,N
fell,14,to,111,V
fell,9,to,103,V
lowered,rating,on,million,N
exceeds,profit,by,margin,V
noted,loss,of,million,N
including,gains,of,million,N
fell,%,in,quarter,V
lost,million,in,business,V
posted,earnings,of,million,N
included,charge,in,quarter,V
ordered,investigation,of,impact,N
referred,takeover,to,Commission,V
sold,business,to,Ltd.,V
is,unit,of,S.A,N
has,branches,throughout,U.K.,V
had,profit,of,million,N
throws,work,on,legislation,N
has,control,over,legislation,N
guarantee,cut,in,emissions,N
abandon,proposal,for,cap,N
junk,system,for,credits,N
subsidize,costs,for,utilities,N
sparing,customers,from,jumps,V
present,alternative,to,members,V
pose,challenge,to,plan,N
win,support,of,utilities,N
representing,some,of,utilities,N
have,agreement,with,company,V
acquired,%,of,City,N
acquire,%,from,Co.,V
coordinate,markets,in,times,V
routes,trades,into,file,V
fall,points,from,close,V
halt,trading,for,hour,V
slides,points,on,day,V
zip,orders,into,exchange,V
handles,%,of,orders,N
buy,quantity,of,instrument,N
buy,quantity,at,price,V
swapping,stocks,for,futures,V
involving,sale,of,stocks,N
selling,baskets,of,stocks,N
executing,trades,in,options,V
capture,discrepancies,between,stocks,N
buy,value,of,index,N
buy,value,by,date,V
multiplying,number,by,amount,V
buy,amount,of,investment,N
buy,amount,by,date,V
seek,control,of,airline,N
make,bid,by,himself,V
boost,value,of,holdings,N
position,himself,as,investor,V
sold,stock,at,profit,V
making,filing,before,collapse,V
acquired,stake,at,cost,V
reduced,stake,to,%,V
accepted,bid,at,prices,V
boost,value,of,stock,N
adds,twist,to,speculation,V
boost,value,of,any,N
land,job,with,UAL,V
reach,kind,of,accord,N
reach,kind,with,employees,V
owned,%,of,Williams,N
pay,shares,for,rest,V
pay,share,for,share,V
acquired,assets,of,agency,N
bought,shares,of,stock,N
bought,shares,for,3.625,V
boosts,stake,to,%,V
oust,Edelman,as,chairman,V
including,sale,of,company,N
extended,offer,for,stock,N
extended,offer,until,9,V
owns,million,of,shares,N
reported,earnings,for,quarter,V
rose,%,to,billion,V
cited,showing,by,segment,N
soared,%,to,million,V
had,revenue,for,months,V
muscling,aerospace,for,time,V
jump,%,to,million,V
took,hits,in,quarters,V
posted,net,of,million,N
Excluding,additions,to,profit,N
were,2.47,from,2.3,V
rose,%,to,billion,V
cut,prices,by,%,V
include,reduction,on,computer,N
buy,quantity,of,sugar,N
rose,limit,of,cent,N
rose,limit,to,cents,V
export,sugar,during,season,V
produce,alcohol,for,fuel,V
is,producer,of,sugar,N
total,tons,in,contrast,V
been,switch,in,decade,V
have,contacts,with,industry,N
fuel,portion,of,fleet,N
had,problems,in,years,V
buy,sugar,on,market,V
showed,decline,in,inventories,N
buys,grains,in,quantity,V
buy,tons,of,wheat,N
receiving,status,from,U.S,V
running,purchases,of,bushels,N
running,purchases,in,October,V
advanced,cents,to,1.165,V
extend,state,of,emergency,N
extend,state,in,Island,V
find,buyer,for,chain,V
sell,stake,in,chain,N
sell,stake,to,management,V
reduce,investment,in,retailing,N
seeking,buyer,for,chain,V
rang,sales,in,1988,V
operates,stores,in,Iowa,N
buy,interest,in,chain,N
buy,interest,in,January,V
reduce,stake,in,Younkers,N
changing,offer,for,company,N
changing,offer,to,13.65,V
pay,cash,with,preference,V
accrue,dividends,at,rate,V
gave,reason,for,offer,N
submit,offer,to,committee,V
been,manager,for,months,V
followed,tenure,as,editor,N
is,reason,for,departure,V
choosing,people,of,tomorrow,N
reflects,change,in,strategy,N
rose,pence,to,pence,V
representing,shares,in,market,V
becomes,director,of,affairs,N
becomes,director,of,programs,N
extended,offer,for,shares,N
launched,suit,in,court,V
seeking,withdrawal,of,rights,N
hold,%,of,shares,N
set,10,as,deadline,V
reported,loss,of,million,N
had,loss,of,million,N
declined,%,to,million,V
cited,softening,in,demand,N
report,loss,of,million,N
write,million,in,costs,N
cited,amortization,of,goodwill,N
cited,amortization,as,factors,V
bearing,brunt,of,selling,N
added,0.84,to,341.2,V
gained,0.99,to,319.75,V
went,0.6,to,188.84,V
led,decliners,on,Exchange,V
stood,month,at,%,V
offset,impact,of,profit-taking,N
awaits,release,of,data,N
awaits,release,with,hope,V
stick,necks,in,way,V
jumped,3,to,47,V
sparked,revival,of,rumors,N
went,3,to,1,V
climbed,3,to,73,V
mount,offer,for,company,N
rose,1,to,177,V
added,3,to,51,V
acquire,stock,for,50,V
has,stake,of,%,N
launched,offer,for,company,N
dropped,3,to,61,V
lost,1,to,50,V
rose,3,to,39,V
added,1,to,24,V
gained,1,to,48,V
fell,7,to,48,V
lost,3,to,31,V
dropped,1,to,40,V
rose,3,to,53,V
has,yield,of,%,N
dropped,1,to,17,V
sell,stake,in,unit,N
sell,stake,for,million,V
cut,estimates,of,value,N
tumbled,2,to,14,V
went,1,to,19,V
marketing,lens,for,use,N
gained,1.56,to,372.14,V
rose,1,to,16,V
convert,partnership,into,company,V
have,impact,on,results,N
exchange,assets,for,shares,V
holds,%,of,units,N
rose,%,to,yen,V
cited,sales,against,backdrop,N
surged,%,to,yen,V
climbing,%,from,yen,V
owns,%,of,shares,N
exchange,share,of,stock,N
exchange,share,for,share,V
plunged,4,to,14.75,V
have,rate,of,1.76,N
include,loss,of,million,N
exceed,net,of,million,N
makes,bombs,for,business,V
rose,%,to,million,V
reflected,loss,from,Hugo,N
maintain,million,in,capital,N
had,loss,of,158666,N
reported,loss,of,608413,N
sold,shares,of,stock,N
sold,shares,to,interests,V
represents,%,of,shares,N
increased,worth,to,million,V
raised,price,for,jeweler,N
raised,price,to,57.5,V
raises,presence,to,stores,V
said,problems,with,construction,N
be,shareholder,in,company,N
reported,loss,of,million,N
had,income,of,132000,N
is,write-off,of,servicing,N
been,drain,on,earnings,N
eliminate,losses,at,unit,N
eliminated,million,of,will,N
assuming,fluctuation,in,rates,N
has,assets,of,billion,N
completed,acquisition,of,Inc.,N
adopt,First,of,name,N
eliminate,positions,of,company,N
take,jobs,with,First,N
reduce,results,for,1989,N
reduce,results,by,million,V
provides,cents,for,stockholders,V
receive,stock,in,company,N
ENDED,truce,with,Contras,N
citing,attacks,by,rebels,N
reaffirmed,support,for,elections,N
launched,offensive,against,forces,N
called,protests,in,country,N
showing,support,for,renovation,V
extend,moratorium,on,funding,N
treat,diseases,like,Alzheimer,N
approved,portions,of,package,N
sabotage,elections,in,Namibia,N
took,responsibility,for,slaying,N
avenge,beheading,of,terrorists,N
concluded,days,of,talks,N
continue,program,of,modernization,N
defeated,motion,in,history,N
take,place,in,waters,V
unveiled,package,of,initiatives,N
establish,alternatives,to,trafficking,N
establish,alternatives,in,nations,V
warned,U.S.,about,attack,V
completed,offer,for,Inc.,N
tendering,%,of,shares,N
tendering,%,by,deadline,V
take,ownership,of,studio,N
assuming,billion,of,debt,N
told,employees,in,operations,N
earned,million,on,revenue,V
posted,gain,in,profit,N
rose,%,to,yen,V
surged,%,to,yen,V
pushed,sales,in,construction,V
rose,3.375,to,47.125,V
stem,drops,in,market,N
received,bid,from,investor,V
steps,pressure,on,concern,N
buy,%,of,parent,N
make,bid,by,himself,V
block,buy-outs,in,industry,N
face,fine,of,million,N
face,requirements,as,automobiles,N
sell,billion,in,bonds,N
cast,pall,over,Association,V
built,thrift,with,bonds,V
reaching,3,on,rumors,V
's,10,of,equity,N
has,shares,in,hands,N
attend,restructuring,of,Columbia,N
write,junk,to,value,V
sell,bonds,over,years,V
wrote,million,of,junk,N
reserved,million,for,losses,V
provide,data,on,junk,N
has,gains,on,traded,V
holding,some,of,investments,N
sell,bank,as,operation,V
use,some,of,proceeds,N
is,subject,of,speculation,N
awarded,patents,for,Interleukin-3,V
make,factor,via,technology,V
licensed,rights,for,Interleukin-3,V
conducting,studies,with,it,V
induce,formation,of,cartilage,N
filed,applications,on,number,V
question,rating,in,hearings,V
add,voice,to,court,V
gives,a,to,nominees,V
gives,rating,to,those,V
acquire,%,of,AG,N
acquire,%,from,Foundation,V
buying,stake,in,company,N
expand,production,of,supplies,N
provides,fit,with,unit,N
is,part,of,strategy,N
had,sales,of,marks,N
has,backlog,of,marks,N
bring,stock,to,market,V
issued,rulings,under,act,N
investigate,complaints,by,makers,N
reaching,U.S.,at,prices,V
defines,prices,as,ones,V
find,violations,of,law,N
assess,duties,on,imports,V
estimate,size,of,charge,N
increase,benefits,to,%,V
called,part,of,strategy,N
take,advantage,of,plan,N
rose,cents,to,38.875,V
been,target,of,speculation,N
elected,director,of,concern,N
increases,board,to,seven,V
gives,example,of,integrity,N
offered,trip,from,Bronx,N
offered,trip,by,one,V
accepting,anything,of,value,N
reading,book,about,fingers,N
lead,us,along,path,V
producing,equipment,for,Navy,V
became,partner,after,creation,V
falsify,ownership,of,corporation,N
plugged,itself,into,rhetoric,V
using,angle,through,'80s,V
made,use,of,techniques,N
became,partners,in,company,N
found,day,on,job,N
changed,name,to,London,V
became,author,of,book,N
leaving,gold,in,street,V
have,characteristics,as,Wedtech,V
take,place,in,programs,V
are,groups,of,people,N
selling,decisions,of,government,N
are,version,of,Nomenklatura,N
line,pockets,of,insiders,N
was,officer,of,Corp.,N
open,talks,with,receivers,V
avert,exodus,of,workers,N
become,shareholders,in,company,N
take,stake,in,company,N
holding,contracts,for,ships,N
has,ships,on,order,V
presented,claims,for,damages,N
presented,claims,in,court,V
began,Tuesday,in,court,V
repay,million,in,debt,N
repay,million,through,sales,V
moved,headquarters,from,Irvine,V
reported,decline,in,earnings,N
included,gain,of,million,N
attributed,slump,to,costs,V
realized,profit,on,increases,V
closed,yesterday,at,80.5,V
had,change,in,earnings,V
compares,profit,with,estimate,V
have,forecasts,in,days,V
completed,acquisition,of,Corp.,N
causing,bottlenecks,in,pipeline,V
move,crop,to,ports,V
reaping,windfall,of,business,N
bought,bushels,of,corn,N
bought,bushels,in,October,V
be,strain,in,years,V
shipping,corn,in,that,V
reduce,flow,of,River,N
cutting,flow,of,River,N
hamstrung,shipments,in,wake,V
been,factor,in,trading,N
use,price,of,contracts,N
buy,corn,from,farmers,V
offering,farmers,for,corn,V
is,plenty,of,grain,N
relieve,pressure,on,Orleans,N
advanced,cents,to,19.94,V
fell,3.2,to,377.6,V
declined,cents,to,5.218,V
was,result,of,uncertainty,N
creating,attitude,among,traders,V
rose,cents,to,1.14,V
included,number,of,issues,N
was,reaction,to,stocks,N
means,interest,for,metal,N
indicates,slowing,in,sector,N
show,reading,above,%,N
unveiled,models,of,line,N
posted,drop,in,profit,V
offset,weakness,in,operations,N
includes,gains,of,million,N
had,gain,from,settlement,N
sold,chunks,of,segments,N
eliminating,income,from,operations,V
attributed,earnings,for,segment,N
attributed,earnings,to,loss,V
is,venture,with,Ltd,N
dropped,%,to,million,V
posted,drop,in,income,N
exceeded,projections,by,analysts,N
expected,volume,of,sales,N
sell,mix,of,products,N
boost,profit,for,unit,V
reduced,debt,by,billion,V
bought,shares,of,stock,N
increased,stake,in,USX,N
increased,stake,to,%,V
increasing,membership,to,nine,V
named,officer,in,August,V
claim,authority,for,veto,N
veto,part,of,bill,N
gives,authority,for,veto,N
was,discussion,of,veto,N
be,course,of,action,N
claim,authority,without,approval,V
sell,platforms,to,Co.,V
begin,delivery,in,quarter,V
Take,Stage,in,City,V
sold,year,in,U.S.,V
anticipates,growth,for,maker,N
increased,quarterly,to,cents,V
limit,access,to,information,N
ease,requirements,for,executives,V
undermine,usefulness,of,information,N
undermine,usefulness,as,tool,V
make,argument,in,letters,V
exempt,executives,from,reporting,V
reporting,trades,in,shares,V
report,exercises,of,options,N
paid,obeisance,to,ideal,V
report,sales,of,shares,N
report,sales,within,month,V
produced,mail,than,issue,N
improve,law,by,conforming,V
conforming,it,to,realities,V
publish,names,of,insiders,N
file,reports,on,time,V
write,representatives,in,Congress,N
oversees,billion,for,employees,V
offer,options,to,participants,V
begin,operation,around,1,V
are,part,of,fund,N
carry,part,of,agreement,N
shun,securities,of,companies,N
transfer,money,from,funds,V
receive,cash,from,funds,V
purchase,shares,at,price,V
protect,shareholders,against,tactics,V
taken,line,about,problem,V
embraced,Age,as,listening,V
was,case,in,point,N
play,tune,from,record,N
reflected,side,of,personality,N
chanted,way,through,polyrhythms,V
featured,show,of,images,N
offered,music,of,evening,N
offered,music,after,intermission,V
juxtapose,performer,with,tracks,V
warned,us,in,advance,V
illustrated,tapestry,with,images,V
was,jazz,with,pictures,V
was,thanks,to,level,N
was,substitute,for,evening,N
gave,blessing,to,claptrap,V
liberated,U.S.,from,one,V
traduce,charter,of,promoting,N
had,success,at,achieving,V
means,redistributionism,from,West,N
give,rights,against,press,N
block,printing,of,ideas,N
converted,ideals,of,liberty,N
converted,ideals,into,rights,V
holding,meetings,in,Paris,V
contributed,%,of,budget,N
raise,funds,by,selling,V
see,argument,against,UNESCO,N
shows,power,of,ideas,N
fear,principles,at,home,V
are,experts,at,obfuscation,N
have,purposes,at,times,V
cloud,allure,of,concepts,N
developed,technique,for,creating,N
creating,plants,for,number,V
prevents,production,of,pollen,N
prevent,plant,from,fertilizing,V
have,effect,on,production,V
is,one,of,producers,N
are,distance,on,plant,V
cut,tassels,of,plant,N
sow,row,of,plants,N
pulling,organs,of,plants,N
deactivates,anthers,of,flower,N
hurt,growth,of,plant,N
get,plants,in,numbers,V
attached,gene,for,resistance,N
attached,gene,to,gene,V
leaving,field,of,plants,N
accommodate,peculiarities,of,type,N
include,corn,among,crops,V
obviate,need,for,emasculation,N
costs,producers,about,million,V
spurred,research,at,number,V
create,hybrids,in,crops,V
involves,insects,as,carriers,V
is,sign,of,divisiveness,N
was,skirmish,over,timing,N
organize,borrowing,in,Japan,V
play,roles,in,financing,V
shows,power,of,titans,N
raise,dollars,to,4,V
block,Wellington,from,raising,V
raising,money,in,Japan,V
told,reporters,in,Wellington,V
guaranteed,loans,to,Ltd.,V
separate,industries,from,each,V
seeking,access,to,kinds,N
open,them,to,brunt,V
stretch,limits,of,businesses,N
started,venture,with,Co.,V
use,accounts,like,account,V
attracting,wrath,of,banks,N
sells,stocks,to,institutions,V
stirred,anger,of,firms,N
named,director,at,company,N
was,director,of,division,N
's,time,for,season,N
is,debut,of,Association,N
