Verb,Noun,Prep,Prep_obj,Class_label
convict,him,of,crime,N
Drawing,inference,in,hearing,V
offend,shield,against,self-incrimination,N
took,falls,on,you-know-what,V
be,plus,for,stocks,N
be,days,for,prices,N
played,part,in,activity,N
was,lot,of,volume,N
makes,markets,in,thousands,V
handle,volume,of,calls,N
is,one,for,companies,N
following,complaints,from,investors,N
was,hour,of,trading,N
do,thing,at,time,V
executed,order,by,close,V
take,call,at,time,N
keep,supplies,of,stock,N
keep,supplies,on,hand,V
buy,shares,from,sellers,V
exacerbating,slide,in,prices,N
kept,stockpiles,on,hand,V
selling,stock,throughout,week,V
put,shares,on,shelf,V
sent,waves,through,market,V
has,handful,of,stocks,N
lost,%,to,40,V
dropped,1,to,107,V
dropped,1,to,33,V
lost,1,to,19,V
dropped,1,to,66,V
are,guide,to,levels,N
scooping,stocks,during,rout,V
put,checkbooks,in,hurry,V
manages,billion,of,stocks,N
spent,half,for,stocks,V
shaved,million,from,value,V
spent,million,in,half-hour,V
is,justification,on,level,N
attracting,trillion,from,funds,V
added,billion,to,portfolio,V
see,changes,in,portfolios,N
have,year,in,market,N
soften,blow,of,prices,N
converted,%,of,pool,N
take,stock,off,hands,V
make,bids,on,anything,N
brought,reprieve,for,managers,N
put,them,at,odds,N
replacing,them,at,price,V
shown,losses,of,%,N
turned,evidence,in,investigation,N
turned,evidence,to,office,V
market,version,of,medicine,N
substituted,product,in,tests,V
recall,strengths,of,version,N
began,recall,of,versions,N
challenge,legality,of,defense,N
become,landmark,in,law,N
challenge,practice,of,companies,N
issuing,shares,to,trusts,V
dilute,power,of,stockholders,N
uphold,validity,of,type,N
issue,stock,to,trust,V
dilute,power,of,shareholders,N
had,words,for,policy-making,V
be,subject,of,initiatives,N
finger,each,for,blame,V
order,billion,of,cuts,N
reach,agreement,on,bill,N
is,warfare,between,the,N
sent,signals,about,response,N
brought,administration,to,table,V
barring,drops,in,market,N
force,sides,to,table,V
survive,it,without,problem,V
be,plenty,of,blame,N
is,concern,on,part,N
is,prospect,of,deal,N
exclude,gains,from,legislation,V
strip,gains,from,legislation,V
follow,lead,of,the,N
drop,variety,of,measures,N
strip,bill,of,provisions,V
cut,shortfall,by,billion,V
attributing,drop,in,prices,N
attributing,drop,to,decision,V
postpone,action,on,gains,N
holding,assets,in,anticipation,V
is,more,than,any,N
refinancing,billion,in,debt,N
matched,brethren,in,anxiety,V
riding,storm,in,market,N
losing,faith,in,market,N
flee,market,in,1987,V
lost,one-third,of,value,N
representing,clubs,from,the,N
welcomed,drop,in,prices,N
take,advantage,of,it,N
has,stocks,in,mind,V
provide,financing,for,buy-out,N
is,one,of,number,N
's,distaste,for,leverage,N
's,foundation,to,it,N
quit,job,as,assistant,N
win,confidence,of,investor,N
extends,trend,toward,downsizing,N
carry,memory,than,anything,N
takes,exception,to,name,N
Consider,growth,of,portables,N
comprise,%,of,sales,N
precluded,use,of,microprocessors,N
take,place,between,players,V
considered,threat,to,firms,N
taking,aim,at,share,N
include,drive,in,words,N
hit,the,by,end,V
established,itself,as,one,V
develop,circuits,for,use,N
received,contract,for,sets,N
received,contract,for,engines,N
pushing,rate,of,inflation,N
pushing,rate,to,%,V
registered,156.8,at,end,V
hit,highs,during,trading,V
braved,market,in,day,V
acquired,%,of,shares,N
raise,objection,to,acquisition,V
discussed,possibility,of,venture,N
expect,problems,as,result,N
buying,stock,on,margin,V
expect,problems,with,calls,N
learned,lesson,in,1987,N
renew,contracts,with,unit,N
renew,contracts,at,end,V
put,cost,of,all,N
put,cost,at,million,V
drop,agreements,at,end,V
was,setback,for,program,N
is,entry,into,format,N
is,entry,since,1972,V
is,way,to,it,N
named,president,of,entertainment,N
raise,level,of,show,N
post,earnings,for,quarter,V
reflect,improvement,in,business,N
reported,income,of,million,N
report,results,for,quarter,N
bring,it,into,competition,V
are,million,to,million,N
wrest,slice,of,business,N
wrest,slice,from,leader,V
give,discounts,to,users,V
faces,variety,of,challenges,N
are,replacements,for,mainframes,N
be,news,for,economy,N
ease,grip,on,credit,N
following,plunge,in,history,N
presage,shifts,in,economy,N
pour,money,into,economy,V
mean,change,in,policies,N
bring,rates,in,effort,V
lowered,rate,to,%,V
charge,each,for,loans,V
sustained,manufacturers,for,years,V
was,case,in,1987,N
producing,panic,among,investors,N
diminishing,flow,of,capital,N
grew,%,in,quarter,V
had,years,of,accumulation,N
pump,credit,into,economy,V
's,outbreak,of,inflation,N
taking,comfort,from,success,V
seen,cutting,by,buyers,N
be,quarter,with,comparisons,N
has,stake,in,polyethylene,N
was,million,on,sales,N
pulling,profit,for,companies,N
pulling,profit,by,%,V
had,growth,in,pigments,V
earned,million,on,sales,V
post,profit,for,all,N
posted,profit,of,million,N
keep,pressure,on,prices,V
was,million,on,sales,N
faces,prices,for,product,N
develop,uses,for,polypropylene,N
earned,million,on,sales,V
earned,million,on,sales,V
pay,principal,from,securities,V
's,possibility,of,surprise,N
offset,jump,in,imports,N
do,the,in,report,V
expects,increase,in,the,N
expecting,gain,in,the,N
quicken,bit,from,pace,V
signaled,increase,in,starts,N
seeing,concept,of,both,N
follows,fortunes,of,team,N
anticipate,market,by,fraction,V
is,depiction,of,lives,N
pulled,million,before,lunch,V
keep,secret,from,world,N
ordering,lunch,over,phone,V
anticipating,market,by,fraction,V
takes,man,until,episode,V
takes,wash,to,laundromat,V
create,incentive,for,producers,N
put,finger,on,problem,V
bear,resemblances,to,personalities,N
searching,office,for,bonds,V
covering,face,with,microchips,V
is,correspondent,in,bureau,N
gave,details,of,plans,N
is,part,of,attempt,N
is,parent,of,Farmers,N
appease,concern,over,acquisition,N
invest,billion,in,Investments,V
obtained,assurances,from,group,N
provide,portion,of,financing,N
pay,debt,from,acquisition,N
include,pieces,of,Farmers,N
be,owner,of,Farmers,N
needs,approval,of,commissioners,N
take,%,of,earnings,N
take,%,as,dividends,V
have,implications,for,holders,N
pare,it,to,concern,V
dragged,market,below,levels,V
fall,%,from,level,N
adopted,incentives,on,models,N
see,impact,on,sales,N
reports,sales,at,month-end,V
had,program,in,place,N
rise,average,of,%,N
named,+,of,subsidiary,N
been,consultant,to,operations,N
has,interests,in,electronics,N
opened,bureau,in,capital,V
is,victory,for,radio,N
peddle,newspapers,of,stripe,N
bought,stakes,in,newspapers,N
are,source,of,news,N
shows,depth,of,some,N
's,cry,from,treatment,N
filed,reports,to,network,N
filed,reports,by,phone,V
saves,broadcasts,for,midnight,V
entered,the,with,program,V
is,show,with,leaders,N
cover,happenings,in,towns,N
has,show,with,news,N
's,host,of,programs,N
find,tidbits,of,news,N
intersperses,the,in,groups,N
know,everything,about,world,N
depress,resistance,of,body,N
combat,strains,of,idea,N
get,youth,into,uniform,V
curing,inequities,of,draft,N
is,aim,of,backers,N
require,form,of,service,N
require,form,from,recipient,V
attract,support,among,students,V
throwing,leftovers,into,kettle,V
reflect,view,of,cooks,N
contribute,average,of,hours,N
provide,credit,for,students,N
staff,jobs,in,hospitals,N
overpay,graduates,as,workers,N
cause,resentment,among,workers,N
show,support,for,concept,N
organizing,roll,of,associations,N
substitute,any,of,omnibus,N
substitute,any,for,proposal,V
endow,foundation,with,million,V
inform,citizens,of,ages,N
exhort,them,to,volunteerism,V
's,need,for,concessions,N
performing,works,of,content,N
is,fellow,at,the,N
named,officer,of,chain,N
purchased,%,of,Services,N
purchased,%,for,million,V
replaced,representatives,on,board,N
provides,variety,of,services,N
provides,services,to,clinics,N
had,loss,of,million,N
leave,growth,for,all,N
leave,growth,at,%,V
yield,investors,in,year,V
has,dollars,of,bonds,N
redeemed,time,at,value,V
made,prerequisite,to,graduation,N
restricted,subsidies,to,students,V
pay,dues,to,society,N
are,uses,of,money,N
question,value,of,work,N
see,service,as,cover,V
fear,regimentation,of,youth,N
recognizing,source,of,confusion,N
answers,none,of,them,N
Ignore,service,in,the,N
is,rationale,for,bills,N
exceed,income,of,graduates,N
throw,refusers,in,jail,V
encourages,kinds,of,behavior,N
encourage,service,by,classes,N
undercut,tradition,of,volunteering,N
involve,stipends,to,participants,N
take,control,of,lives,N
is,service,to,nation,N
is,co-author,of,Books,N
laid,plans,through,weekend,N
analyzed,data,on,plunge,N
avoiding,actions,over,weekend,V
reinforce,sense,of,crisis,N
pour,cash,into,system,V
were,portrayals,of,plan,N
providing,money,to,markets,V
provides,money,to,system,V
buying,securities,from,institutions,V
signal,change,in,condition,N
carried,chance,of,declines,N
have,knowledge,in,markets,V
had,consultations,with,chairman,N
avoid,sense,of,panic,N
's,advice,of,professionals,N
see,plunge,as,chance,V
been,lot,of,selling,N
expect,market,in,months,V
take,advantage,of,panics,N
has,one,of,records,N
lagged,market,on,side,V
used,contracts,in,account,N
recommends,securities,of,maturity,N
is,sign,to,investors,N
sell,stock,for,price,V
is,%,to,%,N
Paying,%,for,insurance,N
sold,million,of,stock,N
sold,million,to,employees,V
borrows,money,from,lenders,V
award,employees,over,time,V
fork,cash,for,stock,N
create,incentives,for,employees,N
have,stake,in,success,N
pay,dividend,on,stock,N
establish,house,for,transactions,N
sell,shares,to,parties,V
have,right,to,refusal,N
named,nominees,for,board,N
be,pause,at,the,V
stays,points,from,close,N
ease,opening,of,the,N
is,one,of,number,N
handle,surges,in,volume,N
resurrect,debate,over,host,N
setting,requirements,for,markets,N
expressed,satisfaction,with,results,N
buy,contracts,at,prices,V
separate,trades,from,trades,V
resolve,imbalances,in,stocks,N
compared,action,in,pit,N
compared,action,to,fire,V
be,cause,of,crash,N
strip,markets,of,products,V
was,criticism,of,system,N
raised,possibility,of,breakdown,N
held,recommendations,at,length,V
dismissed,mechanisms,as,sops,V
halts,trading,for,hours,V
Establish,regulator,for,markets,N
Require,reports,of,trades,N
monitor,risk-taking,by,affiliates,N
review,state,of,the,N
be,freedom,of,choice,N
be,freedom,for,both,V
include,members,of,league,N
offering,increase,in,category,N
demanded,increase,in,wage,N
prevent,trade,in,wildlife,N
total,billion,of,business,N
build,frigate,for,1990s,V
commit,themselves,to,spending,V
show,signs,of,success,N
gets,pence,for,every,V
carries,rate,on,balance,N
celebrate,anniversary,of,patriarchate,N
is,brainchild,of,director,N
need,kind,of,symbol,N
identified,himself,as,customer,V
got,word,on,players,N
carried,prices,below,%,N
keep,line,off,market,V
accusing,upstart,of,infringement,N
changed,lot,for,owner,V
's,thing,in,life,N
losing,%,of,sales,N
faces,might,of,a,N
turned,tables,on,business,V
blocking,sale,of,products,N
turned,request,for,such,N
shares,office,with,teddy,V
changed,buttons,on,line,N
created,line,for,children,N
left,plenty,of,room,N
resemble,them,in,size,V
threatening,action,against,customers,V
take,matter,to,the,V
answered,threat,with,suit,V
including,use,of,detective,N
using,colors,on,goods,V
purchased,shares,of,common,N
are,targets,of,tender,N
extended,offers,to,4,V
announced,offer,for,control,N
acquire,%,of,capital,N
acquire,%,for,francs,V
put,value,of,francs,N
put,value,on,shareholding,V
controls,%,of,shareholding,N
sold,block,of,shares,N
sold,block,to,companies,V
bought,shares,on,11,V
hold,stake,of,shares,N
bought,operator,of,chain,N
bought,operator,for,million,V
becomes,shareholder,in,Sports,N
posted,revenue,of,million,N
purchase,any,of,stock,N
extended,agreement,through,31,V
increased,stake,to,%,V
terminated,negotiations,for,purchase,N
operates,service,under,contract,V
valued,fleet,at,million,V
become,the,in,blend,N
increase,stake,in,company,N
increase,stake,above,%,V
regarding,companies,with,interests,N
increase,stake,in,future,N
was,foundation,to,rumors,N
propose,generation,of,trainers,N
buy,trainers,with,value,N
buy,trainers,between,2004,V
perform,assembly,of,trainer,N
ended,occupation,of,shop,N
voting,589,to,193,N
pose,challenge,to,government,N
mark,quotations,on,holdings,N
buy,securities,for,fund,V
produced,dive,in,the,N
trigger,rally,in,market,N
move,capital,into,securities,V
plummeted,%,to,cents,V
make,market,in,securities,V
withdrew,junk,of,bonds,N
dump,some,of,holdings,N
pay,redemptions,by,investors,N
tracks,values,of,funds,N
climbed,25,than,points,N
climbed,25,to,103,V
climbed,gain,of,year,N
plummeted,point,to,%,V
plummeted,decline,since,1982,N
was,drop,in,the,N
get,flight,to,quality,N
marks,shift,in,outlook,N
be,lift,for,bonds,N
manages,billion,of,bonds,N
is,rationale,for,rout,N
is,flight,to,quality,N
receive,billion,of,payments,N
is,undercurrent,of,business,N
were,billion,of,orders,N
is,plenty,of,money,N
creating,hell,of,opportunity,N
covering,some,of,billion,N
pay,interest,on,total,N
is,the,since,1982,N
is,damage,to,businesses,N
is,readjustment,of,values,N
quoted,p.m.,at,103,V
followed,fall,in,market,N
eying,action,of,the,N
repeat,injection,of,amounts,N
yield,%,to,assumption,V
write,value,of,business,N
leads,us,to,piece,V
leaving,it,with,billion,V
decide,issues,on,merits,V
are,instance,of,fingers,N
put,bill,on,speed,V
see,stocks,as,today,V
posted,loss,of,million,N
absorb,losses,on,loans,N
brings,reserve,to,level,V
equaling,%,of,loans,N
reduced,loans,to,nations,N
reduced,loans,to,billion,V
realized,gain,of,million,N
dipped,%,against,quarter,N
dipped,%,to,million,V
rose,%,to,million,V
see,modicum,of,normalcy,N
gave,mandate,to,party,V
was,mop-up,of,corruption,N
herald,assertions,as,proof,V
deposit,million,in,bank,V
monitored,conversations,of,figures,N
served,victory,on,a,N
condemning,affair,as,hunt,V
buttress,credibility,with,the,N
revamp,pieces,of,legislation,N
revamp,pieces,in,preparation,V
is,extradition,of,terrorist,N
awaits,approval,from,minister,N
frustrating,procedures,for,election,N
linked,prospects,to,reaction,V
is,one,of,slingers,N
following,plunge,in,prices,N
inject,amounts,of,money,N
inject,amounts,into,system,V
skidded,190.58,to,2569.26,V
followed,months,of,declines,N
received,a,from,group,V
give,share,to,nations,V
prevented,sale,of,a,N
revealed,information,about,flaws,N
misled,investors,about,success,V
received,attention,as,statements,N
establishes,rule,of,immunity,N
say,anything,without,fear,V
pay,million,in,fees,N
upheld,award,of,fees,N
reimburse,it,for,fees,V
get,260000,for,costs,V
be,arrangement,among,firms,N
refer,work,to,each,V
conduct,seminars,on,topics,N
develop,ties,with,firm,N
SIGNAL,turnaround,for,manufacturers,N
sought,million,in,damages,N
posed,risk,to,students,N
join,500-lawyer,as,partner,V
develop,practice,of,group,N
spent,years,at,unit,V
split,time,between,offices,V
offering,trial,of,computers,N
offering,trial,to,consumers,V
hold,%,of,venture,N
forecast,sales,for,venture,N
forecast,sales,for,year,V
is,mix,of,analysis,N
had,offers,from,magazines,N
soared,%,to,francs,V
reflecting,billings,for,contracts,N
had,profit,of,francs,N
released,figures,for,half,N
made,forecast,of,earnings,N
report,income,of,million,N
reported,loss,for,loss,N
signal,turnaround,for,maker,V
report,income,of,milion,N
had,loss,of,million,N
produce,tons,of,rods,N
exceeded,ability,of,operation,N
expanding,operation,at,cost,V
expanded,force,to,people,V
expand,sales,from,portion,V
continue,strategy,for,brand,V
affect,volumes,under,contracts,N
pull,piece,of,tape,N
use,proceeds,from,sale,N
restructure,billion,in,debt,N
eliminates,uncertainty,with,respect,N
has,reserve,against,million,N
represents,phase,of,program,N
reduce,exposure,through,sales,V
mean,end,of,mega-mergers,N
marks,start,of,game,N
is,sign,for,market,N
increasing,position,to,%,V
was,the,in,series,N
taking,view,of,requests,N
buy,parent,of,Airlines,N
buy,parent,for,300,V
traded,shares,at,prices,V
commit,billions,of,dollars,N
sell,million,of,bonds,N
arrange,million,in,loans,N
arrange,billion,of,loans,N
offering,125,for,shares,V
combine,operations,with,business,V
see,silver,for,business,V
become,hunters,in,market,N
become,hunters,in,market,N
retained,confidence,in,buyers,N
are,sanguine,about,companies,N
Given,weakness,in,both,N
accept,price,from,group,V
offering,26.5,for,shares,V
soliciting,bids,for,sale,N
signified,unwillingness,among,banks,N
provide,credit,for,takeovers,N
consider,sale,of,company,N
keeping,%,of,portfolio,N
are,term,than,purchase,N
take,advantage,of,opportunities,N
evaluate,market,in,location,N
evaluate,market,from,perspective,V
take,advantage,of,opportunities,N
create,opportunities,for,corporations,N
reduced,volume,at,operations,N
investigate,million,in,gifts,N
is,subject,of,lawsuit,N
buy,influence,with,lawmakers,N
based,this,on,statement,V
filed,suit,against,others,V
returned,76000,in,contributions,N
gathered,money,for,him,V
donated,112000,to,campaigns,V
broke,friendship,in,1987,V
told,number,of,people,N
gave,850000,in,funds,N
gave,850000,to,organizations,V
received,47000,in,donations,N
disclosed,200000,in,donations,N
made,disclosure,of,role,N
volunteered,help,to,the,V
portrayed,role,in,1987,N
estimated,value,of,pact,N
begin,delivery,of,cars,N
opened,doors,to,investors,V
cite,uncertainty,about,policies,N
have,all,in,basket,V
is,source,of,toys,N
illustrate,reliance,on,factories,N
fell,%,from,1987,N
fell,%,to,billion,V
jumped,%,to,billion,V
fell,%,to,billion,V
rose,%,to,billion,V
regards,year,as,period,V
excite,sales,in,the,N
placing,warriors,among,toys,V
make,year,for,Playmates,N
improve,year,from,1988,V
cite,dominance,of,market,N
provided,days,in,months,V
have,right,to,abortion,N
recognizing,right,to,abortion,N
filed,brief,in,appeal,V
garnered,votes,of,three,N
is,standard,than,test,N
dropped,%,to,million,V
rose,%,to,billion,V
affected,line,by,million,V
rose,points,to,%,V
is,period,for,them,V
buffing,impact,of,decline,N
take,interest,in,program-maker,N
aggravate,rift,between,studios,N
sit,month,for,meeting,V
get,shows,in,lineups,V
wants,part,of,mess,N
grabbing,chunk,of,riches,N
including,study,of,series,N
has,lots,of,clout,N
starts,study,of,findings.,N
were,part,of,company,N
pursue,lifting,of,suspension,N
had,net,of,72,N
included,charge,of,35,N
reported,net,of,268.3,N
see,spirit,of,people,N
formed,core,of,the,N
is,unbanning,of,movement,N
stopping,tide,of,night,N
create,climate,of,peace,N
have,appreciation,of,history,N
expect,installations,of,lines,N
show,signs,of,weakening,N
post,gain,of,cents,N
reported,income,of,12.9,N
obtain,services,of,executives,N
have,agreeement,with,executives,V
become,executives,of,studio,N
induce,breach,of,contracts,N
signaled,end,of,search,N
deferred,compensation,of,50,N
determining,extent,of,damages,N
had,change,in,earnings,V
watching,value,of,dollar,N
is,one,of,better-than-expected,N
hurt,reporting,of,earnings,N
arranged,syndication,of,a,N
following,shooting,of,bystanders,N
assemble,group,of,banks,N
had,relationship,in,years,V
syndicate,loan,of,name,N
calculate,rate,of,option,N
polls,managers,of,manufacturing,N
subtracting,percentage,of,managers,N
measuring,costs,of,making,N
had,profit,of,58.7,N
have,impact,on,results,V
include,sale,of,banks,N
staunch,flow,of,ink,N
recording,quarters,of,profitability,N
prevent,takeover,of,country,N
attending,assembly,of,the,N
got,word,of,atrocity,N
been,target,of,courage,N
was,head,of,management,N
sell,%,of,shares,N
involving,sale,of,shares,N
is,part,of,plan,N
have,time,to,shop,V
become,one,of,activities,N
spend,lot,of,money,N
boycotted,stores,of,way,N
do,job,of,making,N
cut,price,of,couch,N
is,example,of,kind,N
examined,opinions,of,550,N
looks,%,of,executives,N
consider,level,of,taxes,N
had,opinion,on,taxes,V
was,cost,of,employees,N
increased,number,of,employees,N
increase,number,of,employees,N
is,officer,of,unit,N
gets,title,of,director,N
inherits,bits,of,positions,N
represented,%,of,production,N
report,loss,of,deteriorating,N
enjoying,honeymoon,of,production,N
Solved,Riddle,of,Disease,N
alleviate,suffering,of,others,N
appreciate,value,of,such,N
further,work,of,resolving,N
is,measure,of,quality,N
have,sense,of,values,N
had,profit,before,items,V
had,profit,from,continuing,V
continuing,operations,of,57,N
say,manipulation,of,such,N
are,representatives,of,people,N
stand,chance,of,losing,N
circulated,photo,of,leader,N
replaced,head,of,division,N
managing,director,of,division,N
called,part,of,integration,N
address,surfeit,of,reserves,N
following,gains,of,%,N
continue,strategy,of,combating,N
are,party,of,devaluation,N
completed,offering,of,shares,N
dump,some,of,shares,N
risen,average,of,%,N
have,effect,on,environment,V
attracted,investors,of,growing,N
showed,signs,of,weakness,N
approved,acquisition,of,stores,N
take,lumps,from,prices,V
excluding,gain,from,sale,N
report,gains,of,%,N
extract,themselves,from,war,V
steal,share,from,each,V
become,owners,of,businesses,N
given,size,of,industry,N
predicting,reaction,to,prices,N
misjudged,resistance,to,prices,N
were,%,on,average,V
Blaming,prices,in,part,V
dropped,plans,for,promotion,N
reflecting,dilution,for,acquisitions,N
report,earnings,between,cents,N
increase,%,to,%,N
declines,%,to,%,N
is,hoard,on,view,N
offers,glimpses,of,achievement,N
began,career,as,dancer,N
began,career,during,days,V
became,curator,of,collection,N
include,designs,by,the,N
shed,light,on,role,V
extend,knowledge,of,ambiance,N
dominated,the,through,dancing,V
began,career,as,revolutionary,V
has,point,beyond,fact,V
's,achievement,for,gallery,N
present,kind,of,material,N
present,kind,in,ways,V
document,lot,of,material,N
's,stopgap,for,endeavor,N
retain,management,of,unit,N
selling,computers,as,part,V
is,part,of,plan,N
grow,company,into,member,V
had,loss,of,francs,N
posting,profit,for,year,V
make,it,into,black,V
posted,profit,in,1988,N
are,ingredients,in,plans,N
remains,one,of,companies,N
planting,itself,in,the,V
derive,%,of,revenue,N
derive,%,from,the,V
spends,%,of,budget,N
spends,%,in,the,V
is,crusader,for,software,N
Counting,sales,of,equipment,N
manage,problem,of,service,N
be,market,in,world,N
represents,%,of,market,N
's,%,of,world,N
leave,problem,in,form,V
giving,somebody,for,bill,V
increases,number,of,shares,N
reflect,number,of,shares,N
assuming,changes,at,company,N
create,demand,for,stock,N
has,impact,on,price,N
done,research,on,this,N
take,advantage,of,them,N
mean,expense,for,investors,V
trade,shares,of,stock,N
trade,shares,of,stock,N
closed,yesterday,on,the,V
Underscoring,feelings,on,subject,N
sent,greeting,to,friend,V
like,splits,as,tool,V
is,exercise,in,cosmetics,N
improve,marketability,of,stock,N
extinguish,fire,at,sea,V
built,the,of,steel,N
meet,fate,of,the,N
mistake,diary,with,scholarship,V
issue,shares,in,placement,V
broaden,research,of,products,N
handled,closing,of,transactions,N
's,one,Of,whims,N
receive,20.83,for,share,V
using,terms,like,syndrome,N
make,additions,to,reserves,N
get,news,behind,them,V
announcing,addition,to,reserves,N
post,loss,for,year,N
reported,loss,for,quarter,N
following,addition,to,reserves,N
use,spate,of,reserve-building,N
use,spate,as,opportunity,V
follow,lead,of,Manufacturers,N
follow,lead,with,boost,V
rise,%,from,figure,N
is,difference,in,rates,N
are,some,of,concerns,N
finance,purchase,of,unit,N
requires,approval,by,both,N
receive,nine-tenths,of,share,N
represents,sweetening,from,share,N
makes,products,for,skin,N
acquire,unit,for,million,V
provide,financing,for,purchase,V
overshadows,sales,of,million,N
add,devices,to,plants,V
contained,level,of,fat,N
is,line,of,Germans,N
describing,the,until,years,V
run,company,outside,industry,N
becomes,officer,of,consultants,N
gave,presidency,of,maker,N
gave,presidency,in,1988,V
following,completion,of,marriage,N
eliminate,post,as,chairman,N
's,part,of,shakeout,N
been,member,of,company,N
integrating,business,with,business,V
see,resignation,as,indication,V
devise,plans,by,end,V
been,resignations,among,managers,V
selling,both,of,businesses,N
increase,value,in,light,V
been,interest,in,company,N
explore,sale,of,businesses,N
including,spinoff,of,division,N
sold,all,of,shares,N
held,%,of,company,N
sold,shares,at,premium,V
posted,income,of,million,N
included,gain,of,million,N
exceeded,%,to,goal,N
showed,increase,of,%,N
attributed,results,to,times,V
rose,%,in,quarter,V
increased,%,for,months,V
be,the,in,symphony,N
reported,loss,versus,income,N
include,gain,from,operations,N
take,provisions,for,months,V
demonstrate,improvement,for,quarter,V
chalked,deficit,to,problems,V
manufacturing,wings,on,plane,N
are,candidates,for,write-downs,N
bring,system,into,production,V
are,changes,along,way,V
putting,it,on,supplier,V
taken,adjustments,on,programs,V
seen,the,of,that,N
reflect,problems,on,the,N
having,troubles,with,jet,V
booking,profit,on,contract,V
shows,predictions,for,contractors,V
expect,some,of,these,N
indicated,lot,of,sympathy,N
keep,executives,in,uproar,V
passed,programs,in,1988,V
feel,impact,of,contracts,N
feel,impact,for,number,V
exploit,advantage,from,situation,V
take,hit,against,income,N
take,hit,in,bit,V
delivered,jets,during,period,V
anticipates,line,of,1.15,N
expects,dollar,versus,cents,N
show,gain,during,walkout,N
told,group,of,bankers,N
excluding,gain,from,sale,N
offering,rebates,on,vehicles,V
highlight,vulnerability,of,maker,N
boost,sales,during,quarter,V
cut,production,during,quarter,V
pushed,operations,of,each,N
